,KNN,,SVM,,DTC,,RFC,,ABC,,LR,,GNB,,NN,
Dataset,Train ,Test,Train ,Test,Train ,Test,Train ,Test,Train ,Test,Train ,Test,Train ,Test,Train ,Test
Diabetic Retinopathy  ,0.78,0.62,0.99,0.6,1,0.58,0.99,0.62,0.78,0.65,0.77,0.73,0.61,0.54,0.72,0.71
Default of credit card clients,0.81,0.76,0.99,0.78,0.99,0.74,0.98,0.8,0.81,0.83,0.75,0.78,0.37,0.36,0.76,0.75
Breast Cancer Wisconsin,0.76,0.6,1,0.61,1,0.93,0.99,0.97,0.99,0.94,0.67,0.61,0.8,0.74,0.67,0.61
Statlog (Australian credit approval),0.78,0.72,1,0.55,1,0.8,0.98,0.88,0.9,0.85,0.87,0.88,0.78,0.8,0.65,0.67
Statlog (German credit data),0.79,0.7,0.94,0.74,1,0.68,0.98,0.71,0.81,0.77,0.79,0.75,0.74,0.71,0.86,0.73
Steel Plates Faults,0.76,0.66,1,0.67,1,1,1,0.98,1,1,0.65,0.67,0.5,0.46,0.68,0.69
Adult,0.84,0.78,0.99,0.76,0.99,0.81,0.99,0.85,0.86,0.86,0.8,0.79,0.8,0.8,0.8,0.8
Yeast,0.67,0.54,0.73,0.55,1,0.55,0.98,0.6,0.45,0.43,0.55,0.56,0.58,0.58,0.32,0.33
Thoracic Surgery Data,0.87,0.81,0.86,0.81,1,0.72,0.97,0.81,0.88,0.79,0.86,0.81,0.19,0.2,0.86,0.81
Seismic-Bumps,0.93,0.94,1,0.95,1,0.89,0.99,0.94,0.94,0.93,0.93,0.94,0.9,0.91,0.93,0.94
